,Species
0,Araucaria-heterophylla
1,Arisaema-sikokianum
3,Begonia-masoniana
4,Iris-Noctambule-(TB)
5,Malus-Jelly-King-Mattfru
7,Campanula-fenestrellata
8,Epimedium-Flowers-of-Sulphur-(PBR)
9,Dahlia-Bright-Eyes-(Sin)
11,Bougainvillea-x-buttiana-Poulton-s-Special
12,Coriandrum-sativum-Confetti
13,Fuchsia-Roualeyn-s-White-Gold-(d)
14,Cortaderia-selloana-Highfield-Pink
15,Corydalis-Craigton-Blue
16,Alstroemeria-Princess-Sara-Staprisara-(PBR)-(Princess-Series)
17,Dieffenbachia-Camille-(v)
18,Iris-Dreaming-Yellow-(Sib)
19,Darmera-peltata
22,Cordyline-Southern-Splendour-(v)
23,Lathyrus-vernus-Dama-Emily
24,Ilex-crenata-Convexa-(f)
25,Dianthus-Devon-Zane-(p)
26,Penstemon-Elgar-Light-of-Life-(Elgar-Series)
28,Correa-pulchella
29,Acanthus-spinosus-L
31,Streptocarpus-Sioned
33,Cercis-canadensis-Ruby-Falls-(PBR)
34,Dahlia-Pulp-Fiction-Vdtg61-(PBR)-(Dark-Angel-Series)-(Sin)
36,Hosta-Little-Jay-(v)
37,Hepatica-nobilis-blue-flowered
39,Alstroemeria-Inca-Coral-Konocoral-(Inca-Series)
40,Clematis-Dancing-Queen-Zodaque-(PBR)-(EL)
41,Lupinus-Beefeater
43,Lilium-Julie-Fowlis-(PBR)-(VIIIb-a-b)
44,Rosa-Sunny-Sky-Koraruli-(PBR)-(HT)
45,Begonia-heracleifolia
47,Thalictrum-Anne-(PBR)
48,Fuchsia-Delicate-Purple
50,Rosa-Rambling-Rector-(Ra)
52,Hosta-Shade-Fanfare-(v)
